species,event_date,lat,lon,coordinate_uncertainty_in_meters
Anguilla rostrata,1995-06-29T00:00:00Z,39.982201,-74.737099,8550
Anguilla rostrata,NA,39.8139,-74.207497,NA
Anguilla rostrata,1973-04-27T00:00:00Z,37.940498,-75.361504,NA
Anguilla rostrata,1978-01-01T00:00:00Z,36.1273,-78.874603,NA
Anguilla rostrata,1986-10-23T00:00:00Z,35.647099,-76.341103,NA
Anguilla rostrata,1983-07-27T00:00:00Z,36.547901,-76.452202,NA
Anguilla rostrata,2003-05-22T00:00:00Z,39.270901,-75.111702,NA
Anguilla rostrata,1999-10-16T00:00:00Z,40.177399,-74.161598,700
Anguilla rostrata,1961-08-08T00:00:00Z,34.1884,-78.562103,NA
Anguilla rostrata,2011-10-19T00:00:00Z,38.1469,-77.176102,NA
Anguilla rostrata,2000-04-13T00:00:00Z,40.148602,-74.717499,NA
Anguilla rostrata,2010-06-16T00:00:00Z,36.451401,-77.7827,NA
Anguilla rostrata,1984-05-24T00:00:00Z,33.472698,-79.188301,38
Anguilla rostrata,2010-10-28T00:00:00Z,38.649899,-77.194199,NA
Anguilla rostrata,2010-07-16T00:00:00Z,37.225498,-76.982101,NA
Anguilla rostrata,2010-08-02T00:00:00Z,37.5546,-76.832901,NA
Anguilla rostrata,2010-08-03T00:00:00Z,37.8773,-76.899902,NA
Anguilla rostrata,2010-07-03T00:00:00Z,38.9851,-77.158897,NA
Anguilla rostrata,2010-06-02T00:00:00Z,38.931801,-77.117302,NA
Anguilla rostrata,1961-04-14T00:00:00Z,34.1623,-78.859497,NA
Anguilla rostrata,2009-08-06T00:00:00Z,35.799801,-78.5392,NA
Anguilla rostrata,2009-03-28T00:00:00Z,34.2304,-77.907303,NA
Anguilla rostrata,1983-10-10T00:00:00Z,38.117298,-77.524399,NA
Anguilla rostrata,1962-07-30T00:00:00Z,34.465698,-77.839203,NA
Anguilla rostrata,1962-06-08T00:00:00Z,34.868198,-77.966797,NA
Anguilla rostrata,1962-06-15T00:00:00Z,34.4468,-77.803001,NA
Anguilla rostrata,1964-07-21T00:00:00Z,35.944599,-76.313202,NA
Anguilla rostrata,1962-06-22T00:00:00Z,34.1134,-78.081596,NA
Anguilla rostrata,1962-07-25T00:00:00Z,34.119099,-78.0205,NA
Anguilla rostrata,1962-07-18T00:00:00Z,35.187801,-78.783203,NA
Anguilla rostrata,2009-07-21T00:00:00Z,18.2087,-67.115196,NA
Anguilla rostrata,2009-07-25T00:00:00Z,17.9886,-65.966103,NA
Anguilla rostrata,2009-07-16T00:00:00Z,18.356899,-65.768799,NA
Anguilla rostrata,2009-07-15T00:00:00Z,18.316601,-65.888496,NA
Anguilla rostrata,1962-08-21T00:00:00Z,36.385502,-76.886703,NA
